,,,,,,,
177, 3.089233 , -0.998630 , 0.052336 , -0.052408 , nan , nan , 1.257736
178, 3.106686 , -0.999391 , 0.034899 , -0.034921 , nan , nan , 1.259383
179, 3.124139 , -0.999848 , 0.017452 , -0.017455 , nan , nan , 1.261013
180, 3.141593 , -1.000000 , 0.000000 , -0.000000 , nan , nan , 1.262627
181, 3.159046 , -0.999848 , -0.017452 , 0.017455 , nan , nan , 1.264225
182, 3.176499 , -0.999391 , -0.034899 , 0.034921 , nan , nan , 1.265807
183, 3.193953 , -0.998630 , -0.052336 , 0.052408 , nan , nan , 1.267372
184, 3.211406 , -0.997564 , -0.069756 , 0.069927 , nan , nan , 1.268923
185, 3.228859 , -0.996195 , -0.087156 , 0.087489 , nan , nan , 1.270458
186, 3.246312 , -0.994522 , -0.104528 , 0.105104 , nan , nan , 1.271978
187, 3.263766 , -0.992546 , -0.121869 , 0.122785 , nan , nan , 1.273483
188, 3.281219 , -0.990268 , -0.139173 , 0.140541 , nan , nan , 1.274974
189, 3.298672 , -0.987688 , -0.156434 , 0.158384 , nan , nan , 1.276450
190, 3.316126 , -0.984808 , -0.173648 , 0.176327 , nan , nan , 1.277912
191, 3.333579 , -0.981627 , -0.190809 , 0.194380 , nan , nan , 1.279360
192, 3.351032 , -0.978148 , -0.207912 , 0.212557 , nan , nan , 1.280794
193, 3.368485 , -0.974370 , -0.224951 , 0.230868 , nan , nan , 1.282214
194, 3.385939 , -0.970296 , -0.241922 , 0.249328 , nan , nan , 1.283621
195, 3.403392 , -0.965926 , -0.258819 , 0.267949 , nan , nan , 1.285015
196, 3.420845 , -0.961262 , -0.275637 , 0.286745 , nan , nan , 1.286395
197, 3.438299 , -0.956305 , -0.292372 , 0.305731 , nan , nan , 1.287763
198, 3.455752 , -0.951057 , -0.309017 , 0.324920 , nan , nan , 1.289118
199, 3.473205 , -0.945519 , -0.325568 , 0.344328 , nan , nan , 1.290460
200, 3.490659 , -0.939693 , -0.342020 , 0.363970 , nan , nan , 1.291790
201, 3.508112 , -0.933580 , -0.358368 , 0.383864 , nan , nan , 1.293108
202, 3.525565 , -0.927184 , -0.374607 , 0.404026 , nan , nan , 1.294413
203, 3.543018 , -0.920505 , -0.390731 , 0.424475 , nan , nan , 1.295707
204, 3.560472 , -0.913545 , -0.406737 , 0.445229 , nan , nan , 1.296989
205, 3.577925 , -0.906308 , -0.422618 , 0.466308 , nan , nan , 1.298259
206, 3.595378 , -0.898794 , -0.438371 , 0.487733 , nan , nan , 1.299518
207, 3.612832 , -0.891007 , -0.453990 , 0.509525 , nan , nan , 1.300766
208, 3.630285 , -0.882948 , -0.469472 , 0.531709 , nan , nan , 1.302002
209, 3.647738 , -0.874620 , -0.484810 , 0.554309 , nan , nan , 1.303228
210, 3.665191 , -0.866025 , -0.500000 , 0.577350 , nan , nan , 1.304442
211, 3.682645 , -0.857167 , -0.515038 , 0.600861 , nan , nan , 1.305646
212, 3.700098 , -0.848048 , -0.529919 , 0.624869 , nan , nan , 1.306839
213, 3.717551 , -0.838671 , -0.544639 , 0.649408 , nan , nan , 1.308022
214, 3.735005 , -0.829038 , -0.559193 , 0.674509 , nan , nan , 1.309195
215, 3.752458 , -0.819152 , -0.573576 , 0.700208 , nan , nan , 1.310357
216, 3.769911 , -0.809017 , -0.587785 , 0.726543 , nan , nan , 1.311509
217, 3.787364 , -0.798636 , -0.601815 , 0.753554 , nan , nan , 1.312652
218, 3.804818 , -0.788011 , -0.615661 , 0.781286 , nan , nan , 1.313784
219, 3.822271 , -0.777146 , -0.629320 , 0.809784 , nan , nan , 1.314907
220, 3.839724 , -0.766044 , -0.642788 , 0.839100 , nan , nan , 1.316021
221, 3.857178 , -0.754710 , -0.656059 , 0.869287 , nan , nan , 1.317124
222, 3.874631 , -0.743145 , -0.669131 , 0.900404 , nan , nan , 1.318219
223, 3.892084 , -0.731354 , -0.681998 , 0.932515 , nan , nan , 1.319304
224, 3.909538 , -0.719340 , -0.694658 , 0.965689 , nan , nan , 1.320381
225, 3.926991 , -0.707107 , -0.707107 , 1.000000 , nan , nan , 1.321448
226, 3.944444 , -0.694658 , -0.719340 , 1.035530 , nan , nan , 1.322506
227, 3.961897 , -0.681998 , -0.731354 , 1.072369 , nan , nan , 1.323556
228, 3.979351 , -0.669131 , -0.743145 , 1.110613 , nan , nan , 1.324597
229, 3.996804 , -0.656059 , -0.754710 , 1.150368 , nan , nan , 1.325630
230, 4.014257 , -0.642788 , -0.766044 , 1.191754 , nan , nan , 1.326654
231, 4.031711 , -0.629320 , -0.777146 , 1.234897 , nan , nan , 1.327669
232, 4.049164 , -0.615661 , -0.788011 , 1.279942 , nan , nan , 1.328677
233, 4.066617 , -0.601815 , -0.798636 , 1.327045 , nan , nan , 1.329676
234, 4.084070 , -0.587785 , -0.809017 , 1.376382 , nan , nan , 1.330667
235, 4.101524 , -0.573576 , -0.819152 , 1.428148 , nan , nan , 1.331650
236, 4.118977 , -0.559193 , -0.829038 , 1.482561 , nan , nan , 1.332626
237, 4.136430 , -0.544639 , -0.838671 , 1.539865 , nan , nan , 1.333593
238, 4.153884 , -0.529919 , -0.848048 , 1.600335 , nan , nan , 1.334553
239, 4.171337 , -0.515038 , -0.857167 , 1.664279 , nan , nan , 1.335505
240, 4.188790 , -0.500000 , -0.866025 , 1.732051 , nan , nan , 1.336450
241, 4.206243 , -0.484810 , -0.874620 , 1.804048 , nan , nan , 1.337388
242, 4.223697 , -0.469472 , -0.882948 , 1.880726 , nan , nan , 1.338318
243, 4.241150 , -0.453990 , -0.891007 , 1.962611 , nan , nan , 1.339240
244, 4.258603 , -0.438371 , -0.898794 , 2.050304 , nan , nan , 1.340156
245, 4.276057 , -0.422618 , -0.906308 , 2.144507 , nan , nan , 1.341065
246, 4.293510 , -0.406737 , -0.913545 , 2.246037 , nan , nan , 1.341966
247, 4.310963 , -0.390731 , -0.920505 , 2.355852 , nan , nan , 1.342861
248, 4.328417 , -0.374607 , -0.927184 , 2.475087 , nan , nan , 1.343749
249, 4.345870 , -0.358368 , -0.933580 , 2.605089 , nan , nan , 1.344630
250, 4.363323 , -0.342020 , -0.939693 , 2.747477 , nan , nan , 1.345504
251, 4.380776 , -0.325568 , -0.945519 , 2.904211 , nan , nan , 1.346372
252, 4.398230 , -0.309017 , -0.951057 , 3.077684 , nan , nan , 1.347233
253, 4.415683 , -0.292372 , -0.956305 , 3.270853 , nan , nan , 1.348087
254, 4.433136 , -0.275637 , -0.961262 , 3.487414 , nan , nan , 1.348936
255, 4.450590 , -0.258819 , -0.965926 , 3.732051 , nan , nan , 1.349778
256, 4.468043 , -0.241922 , -0.970296 , 4.010781 , nan , nan , 1.350613
257, 4.485496 , -0.224951 , -0.974370 , 4.331476 , nan , nan , 1.351443
258, 4.502949 , -0.207912 , -0.978148 , 4.704630 , nan , nan , 1.352266
259, 4.520403 , -0.190809 , -0.981627 , 5.144554 , nan , nan , 1.353083
260, 4.537856 , -0.173648 , -0.984808 , 5.671282 , nan , nan , 1.353895
261, 4.555309 , -0.156434 , -0.987688 , 6.313752 , nan , nan , 1.354700
262, 4.572763 , -0.139173 , -0.990268 , 7.115370 , nan , nan , 1.355500
263, 4.590216 , -0.121869 , -0.992546 , 8.144346 , nan , nan , 1.356293
264, 4.607669 , -0.104528 , -0.994522 , 9.514364 , nan , nan , 1.357081
265, 4.625123 , -0.087156 , -0.996195 , 11.430052 , nan , nan , 1.357863
266, 4.642576 , -0.069756 , -0.997564 , 14.300666 , nan , nan , 1.358640
267, 4.660029 , -0.052336 , -0.998630 , 19.081137 , nan , nan , 1.359411
268, 4.677482 , -0.034899 , -0.999391 , 28.636253 , nan , nan , 1.360177
269, 4.694936 , -0.017452 , -0.999848 , 57.289962 , nan , nan , 1.360937
270, 4.712389 , -0.000000 , -1.000000 , 840721452639.448608 , nan , nan , 1.361692
271, 4.729842 , 0.017452 , -0.999848 , -57.289962 , nan , nan , 1.362441
272, 4.747296 , 0.034899 , -0.999391 , -28.636253 , nan , nan , 1.363185
273, 4.764749 , 0.052336 , -0.998630 , -19.081137 , nan , nan , 1.363924
274, 4.782202 , 0.069756 , -0.997564 , -14.300666 , nan , nan , 1.364658
275, 4.799655 , 0.087156 , -0.996195 , -11.430052 , nan , nan , 1.365387
276, 4.817109 , 0.104528 , -0.994522 , -9.514364 , nan , nan , 1.366110
277, 4.834562 , 0.121869 , -0.992546 , -8.144346 , nan , nan , 1.366829
278, 4.852015 , 0.139173 , -0.990268 , -7.115370 , nan , nan , 1.367542
279, 4.869469 , 0.156434 , -0.987688 , -6.313752 , nan , nan , 1.368251
280, 4.886922 , 0.173648 , -0.984808 , -5.671282 , nan , nan , 1.368955
281, 4.904375 , 0.190809 , -0.981627 , -5.144554 , nan , nan , 1.369654
282, 4.921828 , 0.207912 , -0.978148 , -4.704630 , nan , nan , 1.370348
283, 4.939282 , 0.224951 , -0.974370 , -4.331476 , nan , nan , 1.371038
284, 4.956735 , 0.241922 , -0.970296 , -4.010781 , nan , nan , 1.371723
285, 4.974188 , 0.258819 , -0.965926 , -3.732051 , nan , nan , 1.372403
286, 4.991642 , 0.275637 , -0.961262 , -3.487414 , nan , nan , 1.373079
287, 5.009095 , 0.292372 , -0.956305 , -3.270853 , nan , nan , 1.373750
288, 5.026548 , 0.309017 , -0.951057 , -3.077684 , nan , nan , 1.374417
289, 5.044002 , 0.325568 , -0.945519 , -2.904211 , nan , nan , 1.375079
290, 5.061455 , 0.342020 , -0.939693 , -2.747477 , nan , nan , 1.375737
291, 5.078908 , 0.358368 , -0.933580 , -2.605089 , nan , nan , 1.376390
292, 5.096361 , 0.374607 , -0.927184 , -2.475087 , nan , nan , 1.377040
293, 5.113815 , 0.390731 , -0.920505 , -2.355852 , nan , nan , 1.377684
294, 5.131268 , 0.406737 , -0.913545 , -2.246037 , nan , nan , 1.378325
295, 5.148721 , 0.422618 , -0.906308 , -2.144507 , nan , nan , 1.378962
296, 5.166175 , 0.438371 , -0.898794 , -2.050304 , nan , nan , 1.379594
297, 5.183628 , 0.453990 , -0.891007 , -1.962611 , nan , nan , 1.380222
298, 5.201081 , 0.469472 , -0.882948 , -1.880726 , nan , nan , 1.380847
299, 5.218534 , 0.484810 , -0.874620 , -1.804048 , nan , nan , 1.381467
300, 5.235988 , 0.500000 , -0.866025 , -1.732051 , nan , nan , 1.382083
301, 5.253441 , 0.515038 , -0.857167 , -1.664279 , nan , nan , 1.382695
302, 5.270894 , 0.529919 , -0.848048 , -1.600335 , nan , nan , 1.383304
303, 5.288348 , 0.544639 , -0.838671 , -1.539865 , nan , nan , 1.383908
304, 5.305801 , 0.559193 , -0.829038 , -1.482561 , nan , nan , 1.384509
305, 5.323254 , 0.573576 , -0.819152 , -1.428148 , nan , nan , 1.385105
306, 5.340708 , 0.587785 , -0.809017 , -1.376382 , nan , nan , 1.385698
307, 5.358161 , 0.601815 , -0.798636 , -1.327045 , nan , nan , 1.386288
308, 5.375614 , 0.615661 , -0.788011 , -1.279942 , nan , nan , 1.386873
309, 5.393067 , 0.629320 , -0.777146 , -1.234897 , nan , nan , 1.387455
310, 5.410521 , 0.642788 , -0.766044 , -1.191754 , nan , nan , 1.388034
311, 5.427974 , 0.656059 , -0.754710 , -1.150368 , nan , nan , 1.388608
312, 5.445427 , 0.669131 , -0.743145 , -1.110613 , nan , nan , 1.389180
313, 5.462881 , 0.681998 , -0.731354 , -1.072369 , nan , nan , 1.389747
314, 5.480334 , 0.694658 , -0.719340 , -1.035530 , nan , nan , 1.390311
315, 5.497787 , 0.707107 , -0.707107 , -1.000000 , nan , nan , 1.390872
316, 5.515240 , 0.719340 , -0.694658 , -0.965689 , nan , nan , 1.391429
317, 5.532694 , 0.731354 , -0.681998 , -0.932515 , nan , nan , 1.391983
318, 5.550147 , 0.743145 , -0.669131 , -0.900404 , nan , nan , 1.392533
319, 5.567600 , 0.754710 , -0.656059 , -0.869287 , nan , nan , 1.393081
320, 5.585054 , 0.766044 , -0.642788 , -0.839100 , nan , nan , 1.393624
321, 5.602507 , 0.777146 , -0.629320 , -0.809784 , nan , nan , 1.394165
322, 5.619960 , 0.788011 , -0.615661 , -0.781286 , nan , nan , 1.394702
323, 5.637413 , 0.798636 , -0.601815 , -0.753554 , nan , nan , 1.395236
324, 5.654867 , 0.809017 , -0.587785 , -0.726543 , nan , nan , 1.395767
325, 5.672320 , 0.819152 , -0.573576 , -0.700208 , nan , nan , 1.396295
326, 5.689773 , 0.829038 , -0.559193 , -0.674509 , nan , nan , 1.396819
327, 5.707227 , 0.838671 , -0.544639 , -0.649408 , nan , nan , 1.397341
328, 5.724680 , 0.848048 , -0.529919 , -0.624869 , nan , nan , 1.397859
329, 5.742133 , 0.857167 , -0.515038 , -0.600861 , nan , nan , 1.398374
330, 5.759587 , 0.866025 , -0.500000 , -0.577350 , nan , nan , 1.398886
331, 5.777040 , 0.874620 , -0.484810 , -0.554309 , nan , nan , 1.399396
332, 5.794493 , 0.882948 , -0.469472 , -0.531709 , nan , nan , 1.399902
333, 5.811946 , 0.891007 , -0.453990 , -0.509525 , nan , nan , 1.400405
334, 5.829400 , 0.898794 , -0.438371 , -0.487733 , nan , nan , 1.400906
335, 5.846853 , 0.906308 , -0.422618 , -0.466308 , nan , nan , 1.401403
336, 5.864306 , 0.913545 , -0.406737 , -0.445229 , nan , nan , 1.401898
337, 5.881760 , 0.920505 , -0.390731 , -0.424475 , nan , nan , 1.402390
338, 5.899213 , 0.927184 , -0.374607 , -0.404026 , nan , nan , 1.402878
339, 5.916666 , 0.933580 , -0.358368 , -0.383864 , nan , nan , 1.403365
340, 5.934119 , 0.939693 , -0.342020 , -0.363970 , nan , nan , 1.403848
341, 5.951573 , 0.945519 , -0.325568 , -0.344328 , nan , nan , 1.404328
342, 5.969026 , 0.951057 , -0.309017 , -0.324920 , nan , nan , 1.404806
343, 5.986479 , 0.956305 , -0.292372 , -0.305731 , nan , nan , 1.405281
344, 6.003933 , 0.961262 , -0.275637 , -0.286745 , nan , nan , 1.405754
345, 6.021386 , 0.965926 , -0.258819 , -0.267949 , nan , nan , 1.406224
346, 6.038839 , 0.970296 , -0.241922 , -0.249328 , nan , nan , 1.406691
347, 6.056293 , 0.974370 , -0.224951 , -0.230868 , nan , nan , 1.407155
348, 6.073746 , 0.978148 , -0.207912 , -0.212557 , nan , nan , 1.407617
349, 6.091199 , 0.981627 , -0.190809 , -0.194380 , nan , nan , 1.408077
350, 6.108652 , 0.984808 , -0.173648 , -0.176327 , nan , nan , 1.408533
351, 6.126106 , 0.987688 , -0.156434 , -0.158384 , nan , nan , 1.408988
352, 6.143559 , 0.990268 , -0.139173 , -0.140541 , nan , nan , 1.409439
353, 6.161012 , 0.992546 , -0.121869 , -0.122785 , nan , nan , 1.409889
354, 6.178466 , 0.994522 , -0.104528 , -0.105104 , nan , nan , 1.410335
355, 6.195919 , 0.996195 , -0.087156 , -0.087489 , nan , nan , 1.410780
356, 6.213372 , 0.997564 , -0.069756 , -0.069927 , nan , nan , 1.411222
357, 6.230825 , 0.998630 , -0.052336 , -0.052408 , nan , nan , 1.411661
358, 6.248279 , 0.999391 , -0.034899 , -0.034921 , nan , nan , 1.412098
359, 6.265732 , 0.999848 , -0.017452 , -0.017455 , nan , nan , 1.412533
360, 6.283185 , 1.000000 , -0.000000 , -0.000000 , nan , nan , 1.412965
